Banner,Year,Campaign,Channel,Asset Type,Folder Path,File Name,File Path,Thumbnail,SJC URL
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P1_Metro Cover,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P1_Metro Cover.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P2_Metro New Lower Prices,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P2_Metro New Lower Prices.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P3_Metro Produce,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P3_Metro Produce.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P4_Metro Festive,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P4_Metro Festive.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P5_Metro Meat,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P5_Metro Meat.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P6_Metro Bakery,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P6_Metro Bakery.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P7_Metro Italy,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P7_Metro Italy.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P8_Metro Seafood,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P8_Metro Seafood.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P9_Metro Gift Giving,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P9_Metro Gift Giving.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,P10_Metro More Great Savings,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\P10_Metro More Great Savings.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Metro,2026,Metro 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English,Metro_ Complete_Flyer.indd,C:\Users\milad.moradi\Desktop\Metro\Flyer\Metroindesign\English\Metro_ Complete_Flyer.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=2&customer_id=demo
Moi,2026,Moi 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English,Moi Rewards Page 1,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English\Moi Rewards Page 1.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=3&customer_id=demo
Moi,2026,Moi 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English,Moi Rewards Page 2,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English\Moi Rewards Page 2.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=3&customer_id=demo
Moi,2026,Moi 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English,Moi Rewards Page 3,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English\Moi Rewards Page 3.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=3&customer_id=demo
Moi,2026,Moi 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English,Moi Rewards Page 4,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English\Moi Rewards Page 4.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=3&customer_id=demo
Moi,2026,Moi 1,Flyer,Print,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English,Moi Rewards_Complete.indd,C:\Users\milad.moradi\Desktop\Metro\Flyer\Moiindesign\English\Moi Rewards_Complete.indd,,https://demo.flyer-platform.sjcisdev.com/projects/ad-plans?id=3&customer_id=demo
